DATE	      CLOSE
20220121	25.35
20220124	25.2
20220125	25.15
20220126	25.25
20220207	25.5
20220208	25.8
20220209	25.9
20220210	25.85
20220211	25.6
20220214	25.45
20220215	25.2
20220216	25.35
20220217	25.4
20220218	25.4
20220221	25.5
20220222	25.35
20220223	25.2
20220224	24.85
20220225	24.85
20220301	25.25
20220302	25.4
20220303	25.5
20220304	25.05
20220307	24.5
20220308	24.2
20220309	24.2
20220310	24.8
20220311	24.75
20220314	24.85
20220315	24.65
20220316	25.6
20220317	26
20220318	26.25
20220321	26.1
20220322	26
20220323	26.1
20220324	26
20220325	25.75
20220328	25.9
20220329	26.05
20220330	26.2
20220331	26.4
20220401	26.6
20220406	27.2
20220407	26.7
20220408	26.85
20220411	26.8
20220412	26.75
20220413	26.95
20220414	26.55
20220415	26.6
20220418	26.35
20220419	26.15
20220420	26.3
20220421	26.55
20220422	26.65
20220425	26.25
20220426	26.15
20220427	25.75
20220428	26
20220429	26.15
20220503	25.9
20220504	26
20220505	25.9
20220506	25.6
20220509	25
20220510	24.75
20220511	24.45
20220512	23.65
20220513	23.85
20220516	24
20220517	23.75
20220518	24.05
20220519	23.35
20220520	23.45
20220523	23.9
20220524	23.3
20220525	23.05
20220526	22.9
20220527	23.15
20220530	23.9
20220531	24.35
20220601	23.7
20220602	23.5
20220606	23.35
20220607	23.4
20220608	23.45
20220609	23.4
20220610	23.45
20220613	23.1
20220614	23.1
20220615	23.05
20220616	23.1
20220617	22.9
20220620	22.8
20220621	23.5
20220622	23.1
20220623	23.1
20220624	23.45
20220627	23.3
20220628	20.9
20220629	20.25
20220630	19.7
20220701	19.6
20220704	19.65
20220705	20.1
20220706	19.4
20220707	19.85
20220708	19.8
20220711	19.5
20220712	19.1
20220713	19.75
20220714	19.55
20220715	18.8
20220718	19.15
20220719	19.2
20220720	19.25
20220721	19.4
20220722	19.7
20220725	19.85
20220726	19.9
20220727	19.95
20220728	20.1
20220729	20
20220801	20.3
20220802	20.15
20220803	20.15
20220804	20.2
20220805	20.7
20220808	20.8
20220809	20.65
20220810	20.75
20220811	21.2
20220812	20.55
20220815	20.7
20220816	20.9
20220817	21
20220818	20.8
20220819	20.8
20220822	20.6
20220823	20.2
20220824	20.25
20220825	20.35
20220826	20.4
20220829	20.15
20220830	20.2
20220831	20.3
20220901	20.05
20220902	20
20220905	20.3
20220906	20.85
20220907	20.35
20220908	20.6
20220912	20.9
20220913	20.6
20220914	20.2
20220915	20.25
20220916	20.1
20220919	20.15
20220920	20.5
20220921	20.25
20220922	20.05
20220923	20.15
20220926	19.9
20220927	19.85
20220928	19.55
20220929	19.7
20220930	19.55
20221003	19.3
20221004	19.35
20221005	19.55
20221006	19.7
20221007	19.5
20221011	19.1
20221012	19.35
20221013	19.05
20221014	19.1
20221017	19.1
20221018	19.2
20221019	19
20221020	19.05
20221021	19.45
20221024	19.55
20221025	19.55
20221026	19.75
20221027	19.7
20221028	19.6
20221031	19.7
20221101	20.05
20221102	20.2
20221103	20.05
20221104	20.05
20221107	20.2
20221108	20.3
20221109	20.5
20221110	20.4
20221111	21.2
20221114	21.2
20221115	21.45
20221116	21.25
20221117	21.2
20221118	20.9
20221121	21.1
20221122	21.6
20221123	22.1
20221124	22.3
20221125	22.05
20221128	22.25
20221129	22.5
20221130	22.6
20221201	22.6
20221202	22.45
20221205	22.6
20221206	22.5
20221207	22.6
20221208	22.3
20221209	22.4
20221212	22.4
20221213	22.1
20221214	22.3
20221215	22.45
20221216	22.15
20221219	22.1
20221220	21.8
20221221	21.8
20221222	22
20221223	21.8
20221226	21.9
20221227	21.95
20221228	21.95
20221229	21.65
20221230	21.7
20230103	21.65
20230104	21.8
20230105	21.95
20230106	21.9
20230109	22.5
20230110	22.6
20230111	22.45
20230112	22.55
20230113	22.5
20230116	22.7
20230117	22.7
20230130	23.05
20230131	22.5
20230201	22.75
20230202	22.8
20230203	22.75
20230206	22.7
20230207	22.75
20230208	22.65
20230209	22.7
20230210	22.8
20230213	22.8
20230214	22.8
20230215	22.6
20230216	22.75
20230217	22.75
20230220	22.9
20230221	22.75
20230222	22.75
20230223	22.85
20230224	22.75
20230301	22.4
20230302	22.5
20230303	22.55
20230306	22.7
20230307	22.9
20230308	22.8
20230309	22.65
20230310	22.3
20230313	22.35
20230314	21.95
20230315	22.05
20230316	21.7
20230317	21.85
20230320	21.8
20230321	21.95
20230322	22.1
20230323	22.25
20230324	22.2
20230327	22.15
20230328	22.3
20230329	22.4
20230330	22.3
20230331	22.35
20230406	22.4
20230407	22.4
20230410	22.45
20230411	22.55
20230412	22.55
20230413	22.55
20230414	22.65
20230417	22.5
20230418	22.5
20230419	22.45
20230420	22.3
20230421	22.45
20230424	22.4
20230425	22.4
20230426	22.45
20230427	22.45
20230428	22.6
20230502	22.7
20230503	22.75
20230504	22.9
20230505	22.85
20230508	23
20230509	23
20230510	23
20230511	22.9
20230512	22.65
20230515	22.8
20230516	22.95
20230517	23.1
20230518	23.4
20230519	23.45
20230522	23.45
20230523	23.65
20230524	23.55
20230525	23.25
20230526	23.5
20230529	23.55
20230530	23.7
20230531	23.85
20230601	23.65
20230602	23.85
20230605	24
20230606	24.2
20230607	24.6
20230608	24.5
20230609	24.6
20230612	24.55
20230613	24.35
20230614	24.4
20230615	24.5
20230616	24.35
20230619	24.4
20230620	24.25
20230621	24.35
20230626	24.3
20230627	24.2
20230628	24.1
20230629	23.3
20230630	23.1
20230703	23.2
20230704	23.05
20230705	23.15
20230706	22.7
20230707	22.65
20230710	23
20230711	23.3
20230712	23.45
20230713	23.3
20230714	23.75
20230717	23.95
20230718	24.1
20230719	24.1
20230720	24.45
20230721	24.4
20230724	24.1
20230725	24.25
20230726	24.55
20230727	24.7
20230728	24.4
20230731	24.4
20230801	24.9
20230802	24.45
20230804	24.35
20230807	24.7
20230808	25.1
20230809	25.15
20230810	25.3
20230811	24.75
20230814	24.3
20230815	24.2
20230816	23.85
20230817	23.75
20230818	23.95
20230821	23.9
20230822	23.85
20230823	24.2
20230824	24.45
20230825	24.4
20230828	24.4
20230829	24.65
20230830	24.8
20230831	24.4
20230901	24.75
20230904	24.5
20230905	24.2
20230906	24.25
20230907	24.7
20230908	24.65
20230911	24.7
20230912	24.8
20230913	25
20230914	25.2
20230915	25.35
20230918	25.4
20230919	25.75
20230920	25.4
20230921	25
20230922	25.1
20230925	25.2
20230926	25
20230927	25.15
20230928	25.05
20231002	24.95
20231003	24.65
20231004	24.25
20231005	24.55
20231006	24.8
20231011	25.5
20231012	25.65
20231013	25.45
20231016	25.55
20231017	25.3
20231018	25.55
20231019	25.1
20231020	24.75
20231023	24.4
20231024	24.45
20231025	24.6
20231026	24.35
20231027	24.4
20231030	24.1
20231031	24.3
20231101	24.4
20231102	24.5
20231103	24.95
20231106	24.9
20231107	25.05
20231108	25
20231109	25
20231110	25
20231113	25
20231114	25.05
20231115	25.3
20231116	25.45
20231117	25.35
20231120	25.35
20231121	25.7
20231122	25.6
20231123	25.7
20231124	25.8
20231127	25.85
20231128	26.1
20231129	25.95
20231130	26
20231201	26.1
20231204	26.35
20231205	26.4
20231206	26.45
20231207	26.5
20231208	26.55
20231211	26.55
20231212	26.8
20231213	26.75
20231214	27
20231215	27
20231218	27.05
20231219	26.7
20231220	26.55
20231221	26.45
20231222	26.8
20231225	26.6
20231226	26.85
20231227	27.15
20231228	27.35
20231229	27.6
20240102	27.75
20240103	26.95
20240104	27.2
20240105	26.95
20240108	26.9
20240109	26.8
20240110	26.5
20240111	26.8
20240112	26.65
20240115	26.7
20240116	26.25
20240117	25.8
20240118	25.8
20240119	26.2
20240122	26.35
20240123	26.55
20240124	26.6
20240125	26.75
20240126	26.95
20240129	27.1
20240130	26.85
20240131	27.05
20240201	27.05
20240202	26.9
20240205	27
20240215	27
20240216	27.15
20240219	27.45
20240220	27.85
20240221	27.35
20240222	27.55
20240223	27.3
20240226	27.1
20240227	27.2
20240229	27.45
20240301	27.3
